,state,Total:_Estimate,Total:_Margin of Error,"    Less than $20,000_Estimate","    Less than $20,000_Margin of Error","    $20,000 to $39,999_Estimate","    $20,000 to $39,999_Margin of Error","    $40,000 to $59,999_Estimate","    $40,000 to $59,999_Margin of Error","    $60,000 to $99,999_Estimate","    $60,000 to $99,999_Margin of Error","    $100,000 to $149,999_Estimate","    $100,000 to $149,999_Margin of Error","    $150,000 to $199,999_Estimate","    $150,000 to $199,999_Margin of Error","    $200,000 or more_Estimate","    $200,000 or more_Margin of Error",PAYANN,PAYANN_S,PCHDAPR,PCHADVT,YEAR,DENSITY_2021,NPOPCHG_2021,POP_2021,RANK_PPOPCHG_2021,PPOPCHG_2021,Total:_Estimate_max,"    Less than $20,000_Estimate_max","    $20,000 to $39,999_Estimate_max","    $40,000 to $59,999_Estimate_max","    $60,000 to $99,999_Estimate_max","    $100,000 to $149,999_Estimate_max","    $150,000 to $199,999_Estimate_max","    $200,000 or more_Estimate_max",Total:_Estimate_min,"    Less than $20,000_Estimate_min","    $20,000 to $39,999_Estimate_min","    $40,000 to $59,999_Estimate_min","    $60,000 to $99,999_Estimate_min","    $100,000 to $149,999_Estimate_min","    $150,000 to $199,999_Estimate_min","    $200,000 or more_Estimate_min"
57,New Hampshire,"538,552","+/-5,848","50,281","+/-2,733","68,352","+/-2,593","74,159","+/-2,152","131,809","+/-3,334","105,685","+/-2,915","53,384","+/-2,223","54,882","+/-2,716",16796,0.0,8537.69,5630.84,2017,155.1295034800,11144,1388992,12,0.8087974871,550248,55747,73538,78463,138477,111515,57830,60314,526856,44815,63166,69855,125141,99855,48938,49450
58,New Jersey,"3,346,036","+/-9,130","355,028","+/-5,120","429,015","+/-4,598","398,957","+/-4,168","695,392","+/-6,524","600,685","+/-5,744","349,333","+/-4,008","517,626","+/-7,264",83763,0.0,1330.0,578.0,2012,1260.0290755000,-12613,9267130,39,-0.1359197120,3364296,365268,438211,407293,708440,612173,357349,532154,3327776,344788,419819,390621,682344,589197,341317,503098
59,New Jersey,"3,346,036","+/-9,130","355,028","+/-5,120","429,015","+/-4,598","398,957","+/-4,168","695,392","+/-6,524","600,685","+/-5,744","349,333","+/-4,008","517,626","+/-7,264",80473,0.0,1330.0,578.0,2017,1260.0290755000,-12613,9267130,39,-0.1359197120,3364296,365268,438211,407293,708440,612173,357349,532154,3327776,344788,419819,390621,682344,589197,341317,503098
60,New Mexico,"816,574","+/-5,948","159,965","+/-3,949","159,801","+/-3,256","131,913","+/-2,730","172,352","+/-3,534","112,442","+/-2,811","45,960","+/-1,682","34,141","+/-2,382",1399088,0.0,17009.0,9357.0,2012,17.4415070270,-1689,2115877,36,-0.0797613860,828470,167863,166313,137373,179420,118064,49324,38905,804678,152067,153289,126453,165284,106820,42596,29377
61,New Mexico,"816,574","+/-5,948","159,965","+/-3,949","159,801","+/-3,256","131,913","+/-2,730","172,352","+/-3,534","112,442","+/-2,811","45,960","+/-1,682","34,141","+/-2,382",1301968,0.0,8810.0,7033.0,2017,17.4415070270,-1689,2115877,36,-0.0797613860,828470,167863,166313,137373,179420,118064,49324,38905,804678,152067,153289,126453,165284,106820,42596,29377
62,New York,"7,488,719","+/-15,873","1,076,034","+/-9,888","1,075,380","+/-7,726","986,946","+/-6,205","1,554,627","+/-7,899","1,230,689","+/-8,146","647,275","+/-5,608","917,768","+/-8,889",319169,0.0,2039.0,1626.0,2012,420.9359600800,-319020,19835913,50,-1.5828383060,7520465,1095810,1090832,999356,1570425,1246981,658491,935546,7456973,1056258,1059928,974536,1538829,1214397,636059,899990
63,New York,"7,488,719","+/-15,873","1,076,034","+/-9,888","1,075,380","+/-7,726","986,946","+/-6,205","1,554,627","+/-7,899","1,230,689","+/-8,146","647,275","+/-5,608","917,768","+/-8,889",197961,0.0,532.0,1446.0,2017,420.9359600800,-319020,19835913,50,-1.5828383060,7520465,1095810,1090832,999356,1570425,1246981,658491,935546,7456973,1056258,1059928,974536,1538829,1214397,636059,899990
64,North Carolina,"4,088,898","+/-13,840","629,983","+/-8,488","775,258","+/-7,813","648,462","+/-5,532","930,983","+/-8,772","586,892","+/-7,010","240,730","+/-4,132","276,590","+/-6,258",124185,0.0,0.0,0.0,2012,216.9997170300,93985,10551162,11,0.8987607267,4116578,646959,790884,659526,948527,600912,248994,289106,4061218,613007,759632,637398,913439,572872,232466,264074
65,North Carolina,"4,088,898","+/-13,840","629,983","+/-8,488","775,258","+/-7,813","648,462","+/-5,532","930,983","+/-8,772","586,892","+/-7,010","240,730","+/-4,132","276,590","+/-6,258",148983,0.0,428.0,5630.84,2017,216.9997170300,93985,10551162,11,0.8987607267,4116578,646959,790884,659526,948527,600912,248994,289106,4061218,613007,759632,637398,913439,572872,232466,264074
66,North Dakota,"321,697","+/-4,534","41,132","+/-2,229","55,140","+/-2,885","57,986","+/-3,068","78,357","+/-2,352","50,496","+/-2,517","20,143","+/-1,348","18,443","+/-1,408",1901496,0.0,48334.0,11936.0,2012,11.2318039020,-4014,774948,44,-0.5153011320,330765,45590,60910,64122,83061,55530,22839,21259,312629,36674,49370,51850,73653,45462,17447,15627
67,North Dakota,"321,697","+/-4,534","41,132","+/-2,229","55,140","+/-2,885","57,986","+/-3,068","78,357","+/-2,352","50,496","+/-2,517","20,143","+/-1,348","18,443","+/-1,408",1547820,0.0,40193.0,8824.0,2017,11.2318039020,-4014,774948,44,-0.5153011320,330765,45590,60910,64122,83061,55530,22839,21259,312629,36674,49370,51850,73653,45462,17447,15627
68,Ohio,"4,741,813","+/-10,687","714,462","+/-8,761","868,799","+/-7,936","772,494","+/-6,826","1,134,494","+/-8,594","703,268","+/-7,935","276,793","+/-4,822","271,503","+/-6,318",584751,0.0,2578.0,2489.0,2012,288.3098172500,-10570,11780017,37,-0.0896477840,4763187,731984,884671,786146,1151682,719138,286437,284139,4720439,696940,852927,758842,1117306,687398,267149,258867
69,Ohio,"4,741,813","+/-10,687","714,462","+/-8,761","868,799","+/-7,936","772,494","+/-6,826","1,134,494","+/-8,594","703,268","+/-7,935","276,793","+/-4,822","271,503","+/-6,318",600406,0.0,4272.0,2658.0,2017,288.3098172500,-10570,11780017,37,-0.0896477840,4763187,731984,884671,786146,1151682,719138,286437,284139,4720439,696940,852927,758842,1117306,687398,267149,258867
70,Oklahoma,"1,514,051","+/-5,605","255,000","+/-3,651","302,737","+/-3,055","260,265","+/-2,583","340,198","+/-3,556","210,553","+/-2,903","72,652","+/-1,360","72,646","+/-2,353",4137044,0.0,29484.0,36624.0,2012,58.1171593930,24608,3986639,16,0.6210955947,1525261,262302,308847,265431,347310,216359,75372,77352,1502841,247698,296627,255099,333086,204747,69932,67940
71,Oklahoma,"1,514,051","+/-5,605","255,000","+/-3,651","302,737","+/-3,055","260,265","+/-2,583","340,198","+/-3,556","210,553","+/-2,903","72,652","+/-1,360","72,646","+/-2,353",3289073,0.0,18325.0,13964.0,2017,58.1171593930,24608,3986639,16,0.6210955947,1525261,262302,308847,265431,347310,216359,75372,77352,1502841,247698,296627,255099,333086,204747,69932,67940
72,Oregon,"1,688,863","+/-6,412","211,658","+/-5,146","270,001","+/-4,587","261,958","+/-4,160","392,702","+/-6,169","286,619","+/-4,492","126,542","+/-3,098","139,383","+/-3,626",74158,0.0,162.0,654.0,2012,44.2326782730,4611,4246155,30,0.1087104130,1701687,221950,279175,270278,405040,295603,132738,146635,1676039,201366,260827,253638,380364,277635,120346,132131
73,Oregon,"1,688,863","+/-6,412","211,658","+/-5,146","270,001","+/-4,587","261,958","+/-4,160","392,702","+/-6,169","286,619","+/-4,492","126,542","+/-3,098","139,383","+/-3,626",74872,0.0,162.0,654.0,2017,44.2326782730,4611,4246155,30,0.1087104130,1701687,221950,279175,270278,405040,295603,132738,146635,1676039,201366,260827,253638,380364,277635,120346,132131
74,Pennsylvania,"5,178,588","+/-13,249","704,845","+/-7,159","892,593","+/-6,148","807,010","+/-6,084","1,198,588","+/-8,609","816,793","+/-8,233","358,883","+/-4,825","399,876","+/-7,643",2744847,0.0,17365.0,9186.0,2012,289.7497855300,-25569,12964056,41,-0.1968417100,5205086,719163,904889,819178,1215806,833259,368533,415162,5152090,690527,880297,794842,1181370,800327,349233,384590
75,Pennsylvania,"5,178,588","+/-13,249","704,845","+/-7,159","892,593","+/-6,148","807,010","+/-6,084","1,198,588","+/-8,609","816,793","+/-8,233","358,883","+/-4,825","399,876","+/-7,643",1822884,0.0,6312.0,6105.0,2017,289.7497855300,-25569,12964056,41,-0.1968417100,5205086,719163,904889,819178,1215806,833259,368533,415162,5152090,690527,880297,794842,1181370,800327,349233,384590
76,Rhode Island,"421,624","+/-4,080","55,328","+/-2,485","57,711","+/-2,208","57,784","+/-1,919","97,860","+/-2,844","80,694","+/-2,443","34,065","+/-1,737","38,182","+/-2,718",0,0.0,0.0,105.0,2012,1059.6989939000,-619,1095610,35,-0.0564663040,429784,60298,62127,61622,103548,85580,37539,43618,413464,50358,53295,53946,92172,75808,30591,32746
77,Rhode Island,"421,624","+/-4,080","55,328","+/-2,485","57,711","+/-2,208","57,784","+/-1,919","97,860","+/-2,844","80,694","+/-2,443","34,065","+/-1,737","38,182","+/-2,718",8741,0.0,11.0,195.0,2017,1059.6989939000,-619,1095610,35,-0.0564663040,429784,60298,62127,61622,103548,85580,37539,43618,413464,50358,53295,53946,92172,75808,30591,32746
