business_id;rating;num_rating;types;price_level
aNXw3PkXVt8ANwLyCfcmpg;3.3968717413972893;959;cafe|restaurant|food|point_of_interest|store|establishment;1
z9wCTHYI2VZy9YIblwSsgg;4.5;71;cafe|bakery|food|point_of_interest|store|establishment;1
cl5NjtALgaX7E-WL2DtiYQ;4.8;90;cafe|restaurant|food|point_of_interest|store|establishment;
JPm93BlP-UHYPqFgK66JUw;4.7;187;restaurant|food|point_of_interest|establishment;1
gb7JjRJtzWDsIWpJihZhBQ;3.4;1102;cafe|restaurant|food|point_of_interest|store|establishment;1
bchZXVE4feVx4Q5rhIRCGg;3.8;153;restaurant|food|point_of_interest|store|establishment;1
VCkSUsdL5P0p16DAPxVROA;4.5;62;restaurant|food|point_of_interest|establishment;
dIpTuL2T1L98GQGU17IeSw;4.5;1543;bar|restaurant|food|point_of_interest|establishment;2
9qxMhGWjGsuPUoQB3Y74Wg;2.9;2739;cafe|restaurant|food|point_of_interest|store|establishment;1
vxrGNnuEef7YCfB7mN08rA;4.1;199;bakery|meal_takeaway|cafe|restaurant|food|point_of_interest|store|establishment;1
WmnPtMtY0elYVStooCTfng;4.9;96;cafe|food|point_of_interest|store|establishment;
PW5eZM5RAQEhy3wgovChhQ;5;2;cafe|restaurant|food|point_of_interest|establishment;1
6_Zf2QsRHCH1RhbzA9inyw;4;607;cafe|restaurant|food|point_of_interest|store|establishment;2
lPPYZr1_jx0XeW-xR9WJtw;4.4;1181;cafe|bar|restaurant|food|point_of_interest|store|establishment;2
Iipfa9Kaac9XH5Vo8GQwvg;4.2;381;cafe|food|point_of_interest|store|establishment;2
3uvFklejzRPwEPEZQ5vHYQ;4.1;68;convenience_store|gas_station|cafe|restaurant|food|point_of_interest|store|establishment;1
-H6s1c2NRic5UKxXqi4FdQ;5;1;restaurant|food|point_of_interest|establishment;
IbndcMURguByburM72o3SA;4.7;202;restaurant|food|point_of_interest|establishment;1
kLSEk3qXY1KdtFjxHJ9pww;3.3999999999999995;1334;cafe|restaurant|food|point_of_interest|store|establishment;1
epGYbd0_OeSxsSkw-Kx5Rg;4.6;87;cafe|food|point_of_interest|store|establishment;1
A1lAqN3SOaBLoo6NqVcy4Q;3.6000000000000005;2433;cafe|restaurant|food|point_of_interest|store|establishment;1
bF30LqHuXYtR8ibaRbq2kw;4.2;202;cafe|food|point_of_interest|store|establishment;1
-kY_HDP7IMvGl-kBIZVU4A;4.6;576;cafe|food|point_of_interest|store|establishment;2
hK59rATCI9o_rmeQu57RWw;4.6;358;cafe|restaurant|food|point_of_interest|store|establishment;
dD2p903p8lU0IgXT3OFluA;4.2;149;cafe|food|point_of_interest|store|establishment;2
sophKEDc2rBDe-cuOaJDkA;4.5;480;cafe|restaurant|food|point_of_interest|store|establishment;1
vMp55ea__Pk0fYbBDCn6jg;4;886;bakery|meal_takeaway|cafe|restaurant|food|point_of_interest|store|establishment;1
3vTG6LQyr3obzfvrK1l1hA;3.5;25;convenience_store|food|point_of_interest|store|establishment;1
wcpL6sD6jKsBO0tbdK2KEA;3.6;1285;cafe|restaurant|food|point_of_interest|store|establishment;1
0pMj5xUAecW9o1P35B0AMw;3.5;61;convenience_store|gas_station|cafe|restaurant|food|point_of_interest|store|establishment;1
5EGhvgDt_E-JPl4EhQkOtg;4.2;149;cafe|food|point_of_interest|store|establishment;2
4FaYG9qKDpDyr68bKmaIEw;4.3;336;restaurant|food|point_of_interest|establishment;3
L7mbUPFMAfetY0fzuYtZ_g;3.933438485804416;317;bakery|meal_takeaway|cafe|restaurant|food|point_of_interest|store|establishment;1
yUcMPv-B9gCUUNT-GUiJbw;4.9;68;cafe|food|point_of_interest|store|establishment;
Ei0wJeADbNtwvA9CrvknJw;4.8;262;bakery|cafe|food|point_of_interest|store|establishment;1
wMJlbZt2vOTG_FV96gkRVA;3.9;295;bakery|meal_takeaway|cafe|restaurant|food|point_of_interest|store|establishment;1
QpPc51mH86xyrRmnFijpTQ;4.7;249;cafe|food|point_of_interest|store|establishment;1
oY6osC4Ch3PvguA7D1hh_w;4.5;162;cafe|restaurant|food|point_of_interest|store|establishment;2
KXVn1sHOBrLvARWYUhI-lg;4.8;20;food|point_of_interest|store|establishment;
koeubKPpi6ax4FDh7_zcWg;4.6;38;cafe|food|point_of_interest|store|establishment;
13UgduZFJXeiTFsJu5Y8gg;4.8;146;bakery|cafe|food|point_of_interest|store|establishment;1
C3roKH0ekXBz8l0ZoUIvAA;4.5;487;cafe|food|point_of_interest|store|establishment;1
hGy3actugEISbvEGQeMz3A;3.6411864406779664;590;bakery|meal_takeaway|cafe|restaurant|food|point_of_interest|store|establishment;1
k0AO8X3VzWe_F4lkMb0eSg;4.5;362;cafe|meal_takeaway|restaurant|food|point_of_interest|store|establishment;1
I4TFiNX5gTsJBnEGH2Tl8Q;4.5;177;cafe|food|point_of_interest|establishment;1
COclRBaXBjYpomS4syUmvg;4.7;463;cafe|food|point_of_interest|store|establishment;1
j_eImSxsxnW0FCM1b5ekEQ;4.4;14;cafe|food|point_of_interest|store|establishment;
tjEKEDmyR_VmeBkJGwreLA;3.6;519;bakery|meal_takeaway|cafe|restaurant|food|point_of_interest|store|establishment;1
5QCLmv-JrdY0ZGc_D5__iw;4.6;18;restaurant|food|point_of_interest|establishment;
aYJjJMN8heS2PmkvsQzaZg;4.7;469;cafe|food|point_of_interest|store|establishment;1
9sdu-m075T6qdB46wXP46w;4.2;1067;bakery|cafe|restaurant|food|point_of_interest|store|establishment;1
pxuMxh5oC7W-PDN9wwvozg;4.1;722;cafe|restaurant|food|point_of_interest|store|establishment;2
-rTJCKclkU_ZnoQb4oKa9w;4.6;319;bakery|food|point_of_interest|store|establishment;1
IazLGcO9aggJnMMa_5UO1Q;4.7;220;grocery_or_supermarket|food|point_of_interest|store|establishment;
l8uzbLGk9CLjElcWGyBZ0Q;4.6;219;cafe|food|point_of_interest|store|establishment;
uxoQdZD3mEptaPohiLQg1w;4.8;217;restaurant|food|point_of_interest|establishment;2
